Amount,Term,EmploymentType,LoanPurpose,Success,ALL_AgeOfOldestAccount,ALL_AgeOfYoungestAccount,ALL_Count,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountDefaultAccounts,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_WorstPaymentStatusActiveAccounts,DebtRatio,AccountAgeRatio
10500,60,Employed - full time,Other,0,267,1,31,14,2,0,2,17,86.42,47621,11929,0,4.535333332901397,0.0037453183380325157
1000,12,Employed - full time,Other,0,203,2,10,7,2,1,7,3,29.5,2767,2767,0,2.766999997233,0.009852216700235386
5000,48,Employed - full time,furniture,0,92,1,21,15,3,2,5,6,35.62,20262,20262,7,4.05239999918952,0.010869565099243857
10000,60,Employed - full time,Other,0,390,14,9,7,0,1,0,2,177.22,22839,14312,7,2.28389999977161,0.03589743580539119
15000,60,Employed - full time,Other,0,67,1,21,15,1,0,8,6,29.1,15923,15923,0,1.0615333332625645,0.0149253729115616
13000,60,Employed - full time,Consolidation,0,191,2,14,6,3,0,6,8,58.79,8831,8831,0,0.6793076922554379,0.010471204133658617
6000,24,Employed - full time,furniture,0,126,1,19,17,2,2,5,2,37.79,6893,6893,7,1.148833333141861,0.00793650787351978
10000,48,Self employed,Furniture,0,99,5,48,9,1,0,2,39,34.31,19313,19313,0,1.9312999998068698,0.050505049994898486
10000,24,Self employed,Other,1,39,4,8,8,0,0,2,0,22.5,1403,1403,0,0.14029999998597,0.10256409993425386
12000,48,Employed - full time,car,0,279,29,7,7,0,0,0,0,84.86,6918,6918,2,0.5764999999519583,0.10394265195719479
6500,48,Employed - full time,Other,0,151,23,13,7,0,4,0,6,88.85,19735,3977,7,3.0361538456867456,0.1523178797859743
12000,60,Employed - full time,Other,0,217,1,18,10,1,0,2,8,86.17,117555,42516,0,9.796249999183646,0.004608294909639194
500,12,Employed - full time,Other,0,90,7,14,12,1,9,3,2,47.64,4560,4560,7,9.11999998176,0.07777777691358026
1000,12,Employed - full time,Other,0,159,4,37,9,2,7,2,28,60.54,2133,2133,7,2.132999997867,0.02515723254618093
6500,48,Self employed,Other,1,138,11,7,6,1,0,1,1,50.71,2425,2425,0,0.3730769230195266,0.07971014434992649
5000,60,Employed - full time,Consolidation,0,124,14,6,5,0,0,0,1,54.33,113126,13126,2,22.625199995474958,0.11290322489594173
10000,48,Employed - full time,Other,0,166,2,29,20,4,0,6,9,36.79,17933,17933,0,1.79329999982067,0.012048192698504864
5000,36,Self employed,Other,0,147,2,9,6,0,0,2,3,47.44,3440,3440,0,0.6879999998623999,0.01360544208431672
5000,36,Employed - full time,other,0,112,6,10,6,1,3,3,4,43.4,3281,3281,7,0.65619999986876,0.05357142809311225
1000,12,Self employed,Other,0,154,18,23,5,5,6,0,18,48.68,13130,13130,7,13.12999998687,0.11688311612413561
10000,24,Employed - full time,Other,0,362,1,59,32,9,0,17,27,52.27,51619,47885,1,5.1618999994838095,0.0027624309315954945
2000,18,Employed - full time,Debt consolidation,0,150,18,52,13,4,11,0,39,40.35,5722,5722,7,2.8609999985695,0.11999999920000001
16000,36,Employed - full time,Car,0,339,58,15,6,0,0,0,9,125.27,124451,0,0,7.778187499513863,0.17109144492303408
1000,24,Employed - full time,Other,0,150,1,19,11,1,1,7,8,50.11,2610,2610,0,2.60999999739,0.0066666666222222224
1000,24,Employed - full time,Home improvement,0,299,2,22,9,0,6,3,13,107.05,2514,2514,0,2.513999997486,0.0066889631883312265
7000,54,Self employed,Holiday,0,243,2,13,10,3,0,4,3,40.77,24021,24021,0,3.4315714280812037,0.008230452641026944
2000,24,Employed - full time,Other,0,137,1,71,8,6,4,5,63,48.46,669,669,7,0.33449999983275,0.007299270019713358
