UID,Amount,Term,LoanPurpose,Success,ALL_AgeOfOldestAccount,ALL_AgeOfYoungestAccount,ALL_Count,ALL_CountActive,ALL_CountClosedLast12Months,ALL_CountDefaultAccounts,ALL_CountOpenedLast12Months,ALL_CountSettled,ALL_MeanAccountAge,ALL_SumCurrentOutstandingBal,ALL_SumCurrentOutstandingBalExcMtg,ALL_WorstPaymentStatusActiveAccounts,EmploymentType_Employed - part time,EmploymentType_Retired,EmploymentType_Self employed,DebtRatio,AccountAgeRatio
2394247,12000,36,Other,0,335,2,12,7,0,0,4,5,80.92,160097,19645,0,False,False,False,13.341416665554881,0.005970149235910003
2399742,19600,60,Car repairs,0,224,4,22,12,3,0,4,10,54.82,130356,33053,0,False,False,False,6.6508163261912845,0.01785714277742347
2417934,1000,24,Car,0,85,1,39,21,3,5,11,18,31.51,12931,12931,7,False,False,False,12.930999987069,0.011764705743944639
2435817,10000,60,Other,0,155,1,12,10,2,2,5,2,51.17,7912,7912,7,False,False,False,0.79119999992088,0.0064516128616024975
2444848,15000,48,New car,0,268,1,26,15,3,0,4,11,87.35,238028,9563,0,False,False,False,15.868533332275431,0.0037313432696591668
2445283,5000,36,Other,1,68,1,18,5,0,2,2,13,53.0,399,399,0,False,False,False,0.07979999998404,0.014705882136678205
2500550,13000,60,Other,0,90,1,66,18,13,14,11,48,29.58,9282,9282,7,False,False,False,0.7139999999450769,0.011111110987654323
2512968,9500,60,Other,0,234,40,2,2,0,1,0,0,137.0,1428,1428,7,False,False,False,0.1503157894578615,0.1709401702096574
2521157,7000,60,Car,0,190,8,6,5,1,1,1,1,100.17,1598,1598,7,False,False,False,0.22828571425310204,0.04210526293628809
2543116,2000,12,Car,0,90,24,15,7,0,5,0,8,46.43,11562,11562,7,False,False,False,5.780999997109499,0.26666666370370373
2544018,10000,48,Other,0,126,4,44,5,1,1,2,39,53.34,414,414,7,False,False,False,0.04139999999586,0.03174603149407912
2547005,10000,36,car,0,181,6,18,11,1,0,1,7,65.11,66090,998,0,False,False,False,6.6089999993391,0.03314917108757364
2555255,13120,36,Other,0,150,1,8,7,0,0,2,1,58.5,2898,2898,0,False,False,False,0.22088414632462772,0.0066666666222222224
2572853,15000,60,Car,0,73,6,5,3,0,0,2,2,32.4,448648,0,0,False,False,False,29.909866664672673,0.08219177969600303
2580626,13000,48,New car,0,78,2,18,10,0,0,5,8,28.22,126062,1705,0,False,False,False,9.697076922330993,0.02564102531229455
2584327,10000,48,Car,0,6,4,3,3,0,0,3,0,5.0,0,0,0,False,False,True,0.0,0.6666665555555741
2590208,5000,48,Car,0,114,0,15,8,0,0,1,7,40.6,15140,15140,0,False,False,True,3.0279999993944,0.0
2605836,8000,48,Car,0,175,4,12,9,1,1,2,3,56.42,8454,8454,0,False,False,False,1.0567499998679062,0.022857142726530614
2606268,10000,60,car,0,217,2,9,5,1,0,2,4,80.11,10676,10676,0,False,False,False,1.06759999989324,0.009216589819278387
2608063,11000,36,Other,0,235,5,14,8,0,0,1,6,85.71,11695,11695,0,False,False,False,1.0631818180851653,0.021276595654142146
2616200,7000,60,Car,0,91,7,10,8,0,0,5,2,23.4,400,400,0,False,False,False,0.05714285713469387,0.0769230760777684
2619713,5000,36,Car,0,253,15,31,24,1,12,0,7,114.23,252579,180068,7,False,False,False,50.515799989896834,0.059288537315065074
2619972,9150,48,Other,0,151,2,11,8,1,1,4,3,43.27,2708,2708,7,False,False,False,0.2959562841206605,0.013245033024867332
